id,crop_id,zone_id,created_at,updated_at,deleted_at
86,4,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.774-05,
87,3,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.774-05,
88,3,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.775-05,
89,22,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.776-05,
90,22,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.776-05,
91,22,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.777-05,
92,22,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.777-05,
93,21,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.778-05,
94,21,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.779-05,
95,21,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.779-05,
96,20,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.78-05,
97,20,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.78-05,
98,20,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.781-05,
99,19,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.782-05,
100,19,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.782-05,
101,19,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.783-05,
102,19,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.784-05,
103,37,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.784-05,
104,37,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.785-05,
105,37,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.786-05,
106,37,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.786-05,
107,18,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.787-05,
108,18,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.788-05,
109,18,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.789-05,
110,10,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.789-05,
111,10,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.79-05,
112,10,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.791-05,
113,10,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.791-05,
114,36,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.792-05,
115,36,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.793-05,
116,36,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.795-05,
117,36,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.795-05,
118,35,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.796-05,
119,35,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.796-05,
120,35,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.797-05,
121,17,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.798-05,
122,17,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.798-05,
123,17,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.799-05,
124,16,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.8-05,
125,16,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.8-05,
126,16,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.801-05,
127,15,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.801-05,
128,15,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.802-05,
129,15,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.803-05,
130,15,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.803-05,
131,2,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.804-05,
132,2,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.804-05,
133,2,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.805-05,
134,1,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.806-05,
135,34,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.806-05,
136,34,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.807-05,
137,34,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.807-05,
138,34,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.808-05,
139,14,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.808-05,
140,14,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.809-05,
141,14,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.809-05,
142,13,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.81-05,
143,13,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.811-05,
144,13,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.811-05,
145,13,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.812-05,
